event_id,machine_id,event_start,event_end,downtime_minutes,reason_code
1,1,2026-07-16 22:00:00,2026-07-16 22:13:00,13,mechanical_failure
2,1,2026-07-24 01:00:00,2026-07-24 01:39:00,39,electrical_fault
3,1,2026-07-31 18:00:00,2026-07-31 18:58:00,58,material_shortage
4,1,2026-07-19 21:00:00,2026-07-19 21:33:00,33,mechanical_failure
5,1,2026-07-30 05:00:00,2026-07-30 05:40:00,40,electrical_fault
6,1,2026-07-19 15:00:00,2026-07-19 15:54:00,54,mechanical_failure
7,1,2026-08-24 16:00:00,2026-08-24 17:04:00,64,mechanical_failure
8,1,2026-08-21 16:00:00,2026-08-21 16:56:00,56,operator_break
9,1,2026-08-29 21:00:00,2026-08-29 21:54:00,54,mechanical_failure
10,2,2026-07-04 19:00:00,2026-07-04 19:56:00,56,mechanical_failure
11,2,2026-07-06 14:00:00,2026-07-06 15:27:00,87,material_shortage
12,2,2026-08-08 08:00:00,2026-08-08 08:25:00,25,mechanical_failure
13,2,2026-08-21 09:00:00,2026-08-21 09:59:00,59,mechanical_failure
14,2,2026-08-12 16:00:00,2026-08-12 17:19:00,79,changeover
15,2,2026-08-14 18:00:00,2026-08-14 18:28:00,28,mechanical_failure
16,2,2026-08-15 18:00:00,2026-08-15 19:18:00,78,electrical_fault
17,2,2026-08-06 19:00:00,2026-08-06 19:58:00,58,changeover
18,2,2026-07-05 03:00:00,2026-07-05 04:19:00,79,material_shortage
19,2,2026-08-08 06:00:00,2026-08-08 06:44:00,44,changeover
20,3,2026-08-05 05:00:00,2026-08-05 06:00:00,60,mechanical_failure
21,3,2026-08-29 11:00:00,2026-08-29 12:16:00,76,electrical_fault
22,3,2026-07-24 03:00:00,2026-07-24 05:57:00,177,mechanical_failure
23,3,2026-08-11 21:00:00,2026-08-11 23:34:00,154,mechanical_failure
24,3,2026-07-28 13:00:00,2026-07-28 15:19:00,139,operator_break
25,3,2026-07-16 21:00:00,2026-07-16 23:05:00,125,electrical_fault
26,3,2026-07-06 11:00:00,2026-07-06 12:32:00,92,changeover
27,3,2026-08-25 10:00:00,2026-08-25 11:43:00,103,material_shortage
28,3,2026-08-12 20:00:00,2026-08-12 20:26:00,26,mechanical_failure
29,3,2026-07-15 17:00:00,2026-07-15 19:59:00,179,material_shortage
30,3,2026-07-20 23:00:00,2026-07-21 01:42:00,162,electrical_fault
31,3,2026-07-21 09:00:00,2026-07-21 11:53:00,173,changeover
32,3,2026-07-14 04:00:00,2026-07-14 05:17:00,77,operator_break
33,3,2026-07-05 02:00:00,2026-07-05 03:46:00,106,mechanical_failure
34,3,2026-07-24 16:00:00,2026-07-24 18:46:00,166,mechanical_failure
35,3,2026-07-21 11:00:00,2026-07-21 13:16:00,136,mechanical_failure
36,3,2026-08-11 06:00:00,2026-08-11 07:45:00,105,changeover
37,3,2026-07-17 23:00:00,2026-07-18 00:20:00,80,mechanical_failure
38,3,2026-07-28 10:00:00,2026-07-28 11:45:00,105,changeover
39,3,2026-08-03 05:00:00,2026-08-03 06:57:00,117,changeover
40,3,2026-07-21 04:00:00,2026-07-21 04:21:00,21,material_shortage
41,3,2026-08-26 01:00:00,2026-08-26 02:33:00,93,changeover
42,3,2026-08-17 18:00:00,2026-08-17 20:24:00,144,material_shortage
43,4,2026-07-24 14:00:00,2026-07-24 14:49:00,49,mechanical_failure
44,4,2026-08-28 09:00:00,2026-08-28 10:13:00,73,electrical_fault
45,4,2026-08-18 06:00:00,2026-08-18 06:30:00,30,mechanical_failure
46,4,2026-07-04 13:00:00,2026-07-04 13:24:00,24,mechanical_failure
47,4,2026-07-21 14:00:00,2026-07-21 14:23:00,23,mechanical_failure
48,4,2026-08-10 07:00:00,2026-08-10 08:07:00,67,electrical_fault
49,4,2026-08-18 01:00:00,2026-08-18 01:34:00,34,mechanical_failure
50,4,2026-07-03 07:00:00,2026-07-03 07:53:00,53,changeover
