log_id,machine_id,log_date,planned_minutes,run_minutes,units_produced,units_good,ideal_cycle_time_sec
1,1,2026-07-01,480,431,790,781,34.08
2,1,2026-07-02,480,360,862,848,29.17
3,1,2026-07-03,480,360,652,639,26.0
4,1,2026-07-04,480,365,870,843,21.36
5,1,2026-07-05,480,428,868,867,27.0
6,1,2026-07-06,480,454,1002,979,20.2
7,1,2026-07-07,480,464,992,967,20.24
8,1,2026-07-08,480,385,748,738,29.15
9,1,2026-07-09,480,451,858,837,22.73
10,1,2026-07-10,480,443,910,881,28.52
11,1,2026-07-11,480,363,836,817,25.93
12,1,2026-07-12,480,462,1033,1005,28.56
13,1,2026-07-13,480,417,991,984,31.21
14,1,2026-07-14,480,419,901,899,29.11
15,1,2026-07-15,480,390,771,745,20.23
16,1,2026-07-16,480,406,826,802,20.21
17,1,2026-07-17,480,381,848,840,29.09
18,1,2026-07-18,480,462,1012,1008,32.75
19,1,2026-07-19,480,409,759,739,30.03
20,1,2026-07-20,480,433,933,905,28.42
21,1,2026-07-21,480,402,957,951,30.83
22,1,2026-07-22,480,386,754,725,30.66
23,1,2026-07-23,480,372,767,742,33.44
24,1,2026-07-24,480,412,880,869,22.09
25,1,2026-07-25,480,426,904,875,34.14
26,1,2026-07-26,480,426,944,939,29.37
27,1,2026-07-27,480,392,730,714,23.28
28,1,2026-07-28,480,405,943,917,21.83
29,1,2026-07-29,480,399,935,907,29.72
30,1,2026-07-30,480,360,724,703,22.47
31,1,2026-07-31,480,418,873,862,24.04
32,1,2026-08-01,480,386,733,710,28.37
33,1,2026-08-02,480,404,742,719,23.7
34,1,2026-08-03,480,436,971,937,34.97
35,1,2026-08-04,480,389,928,906,20.5
36,1,2026-08-05,480,398,867,855,27.96
37,1,2026-08-06,480,409,871,856,21.21
38,1,2026-08-07,480,400,778,771,27.05
39,1,2026-08-08,480,468,954,946,31.98
40,1,2026-08-09,480,376,791,781,32.88
41,1,2026-08-10,480,395,763,754,32.14
42,1,2026-08-11,480,398,739,737,25.96
43,1,2026-08-12,480,417,960,947,31.03
44,1,2026-08-13,480,383,813,803,23.43
45,1,2026-08-14,480,379,905,887,23.91
46,1,2026-08-15,480,469,1115,1095,33.24
47,1,2026-08-16,480,380,747,738,32.7
48,1,2026-08-17,480,454,927,922,32.76
49,1,2026-08-18,480,463,1051,1037,28.71
50,1,2026-08-19,480,401,947,946,24.26
51,1,2026-08-20,480,393,821,802,34.92
52,1,2026-08-21,480,379,686,672,22.68
53,1,2026-08-22,480,400,898,887,24.62
54,1,2026-08-23,480,419,882,869,23.76
55,1,2026-08-24,480,425,1014,993,33.59
56,1,2026-08-25,480,407,818,806,30.03
57,1,2026-08-26,480,455,881,863,28.58
58,1,2026-08-27,480,444,810,809,27.05
59,1,2026-08-28,480,390,908,898,34.3
60,1,2026-08-29,480,396,844,829,34.7
61,2,2026-07-01,480,368,729,705,24.03
62,2,2026-07-02,480,413,835,814,32.66
63,2,2026-07-03,480,462,851,824,30.07
64,2,2026-07-04,480,399,779,757,24.84
65,2,2026-07-05,480,453,852,842,28.29
66,2,2026-07-06,480,392,804,780,29.17
67,2,2026-07-07,480,369,665,655,22.91
68,2,2026-07-08,480,367,747,718,33.3
69,2,2026-07-09,480,363,779,761,30.08
70,2,2026-07-10,480,396,749,748,32.58
71,2,2026-07-11,480,454,885,850,24.55
72,2,2026-07-12,480,419,836,830,24.07
73,2,2026-07-13,480,466,966,959,22.92
74,2,2026-07-14,480,405,898,867,21.99
75,2,2026-07-15,480,467,1040,1000,25.98
76,2,2026-07-16,480,407,914,886,22.77
77,2,2026-07-17,480,368,756,746,20.87
78,2,2026-07-18,480,461,952,923,21.41
79,2,2026-07-19,480,380,897,884,27.75
80,2,2026-07-20,480,432,890,880,20.72
81,2,2026-07-21,480,422,799,770,25.13
82,2,2026-07-22,480,370,686,667,34.69
83,2,2026-07-23,480,379,686,679,32.1
84,2,2026-07-24,480,398,827,815,20.72
85,2,2026-07-25,480,464,1082,1050,20.23
86,2,2026-07-26,480,463,972,954,30.26
87,2,2026-07-27,480,427,1010,1007,33.01
88,2,2026-07-28,480,430,980,967,28.6
89,2,2026-07-29,480,374,855,848,29.39
90,2,2026-07-30,480,450,985,953,24.11
91,2,2026-07-31,480,383,776,746,29.27
92,2,2026-08-01,480,397,870,848,30.22
93,2,2026-08-02,480,397,776,760,30.39
